"sp","mean_baseline","mean_current","per_change","p.yr","mu.v.yr","r","case","actual.change"
"44",0.695344506517691,0.502048417132216,-27.7986073915372,"-0.5","0","9","all",0.841392935164191
"45",0.562116402116402,0.578095238095238,2.84262048192771,"-0.5","0","9","all",-11.1989690500836
"46",0.686392914653784,0.508727858293076,-25.8838709677419,"-0.5","0","9","all",-5.38215392450125
"47",0.598157051282051,0.585753205128205,-2.07367716008038,"-0.5","0","9","all",-1.43270777377277
"48",0.577809523809524,0.57,-1.35157408933575,"-0.5","0","9","all",5.50049191364512
"49",0.614981188863807,0.611595184349135,-0.550586680696423,"-0.5","0","9","all",8.67383499809137
"5",0.640034843205575,0.556341463414634,-13.0763786814742,"-0.5","0","9","all",3.89969950646272
"50",0.605367965367965,0.517878787878788,-14.4522311212815,"-0.5","0","9","all",10.8296491996757
"51",0.566354166666667,0.6275,10.7963950708111,"-0.5","0","9","all",-6.28057356071324
"52",0.693555555555556,0.543019607843137,-21.7049588178751,"-0.5","0","9","all",-14.3276966603953
