"var.names","mean","2.5%","97.5%","Rhat","actual.val","p.yr","mu.v.yr","r","case","sp"
"sigma.psi.sp",0.637,0.513,0.784,0.998,0.5,"0","-0.5","2","all","ms"
"mu.psi.yr",0.328,0.179,0.487,1.075,0,"0","-0.5","2","all","ms"
"sigma.psi.yr",0.423,0.284,0.592,1.056,0.2,"0","-0.5","2","all","ms"
"mu.p",-2.284,-2.399,-2.186,1.018,-0.5,"0","-0.5","2","all","ms"
"sigma.p.sp",0.373,0.3,0.458,1.003,NA,"0","-0.5","2","all","ms"
"p.yr",-0.602,-0.731,-0.484,1.205,0,"0","-0.5","2","all","ms"
"sigma.p.site",1.604,1.549,1.656,1.002,1.5,"0","-0.5","2","all","ms"
"per_chage_bci",12.1751879297143,6.40578788527639,17.9024673570674,NA,0,"0","-0.5","2","all","ms"
"mu.psi",0.462,0.321,0.591,1.313,0,"0","0","2","all","ms"
"sigma.psi.sp",0.526,0.433,0.632,1.014,0.5,"0","0","2","all","ms"
"mu.psi.yr",0.068,-0.035,0.186,1.029,0,"0","0","2","all","ms"
"sigma.psi.yr",0.253,0.167,0.366,1.007,0.2,"0","0","2","all","ms"
"mu.p",-2.172,-2.302,-2.05,1.2,-0.5,"0","0","2","all","ms"
"sigma.p.sp",0.305,0.251,0.366,1.011,NA,"0","0","2","all","ms"
"p.yr",-0.015,-0.145,0.091,1.138,0,"0","0","2","all","ms"
"sigma.p.site",1.505,1.459,1.558,1.003,1.5,"0","0","2","all","ms"
"per_chage_bci",2.61982084555309,-1.38860105498212,7.0281437221186,NA,0,"0","0","2","all","ms"
"mu.psi",0.516,0.343,0.72,1.177,0,"0.5","-0.5","2","all","ms"
"sigma.psi.sp",0.563,0.447,0.701,1.007,0.5,"0.5","-0.5","2","all","ms"
"mu.psi.yr",0.366,0.228,0.492,1.019,0,"0.5","-0.5","2","all","ms"
"sigma.psi.yr",0.324,0.196,0.444,1,0.2,"0.5","-0.5","2","all","ms"
"mu.p",-2.207,-2.303,-2.093,1.041,-0.5,"0.5","-0.5","2","all","ms"
"sigma.p.sp",0.252,0.202,0.311,1.004,NA,"0.5","-0.5","2","all","ms"
"p.yr",-0.351,-0.474,-0.236,1.083,0.5,"0.5","-0.5","2","all","ms"
"sigma.p.site",1.594,1.545,1.645,1.005,1.5,"0.5","-0.5","2","all","ms"
"per_chage_bci",12.9525739520297,7.84018699502146,17.7877934022233,NA,0,"0.5","-0.5","2","all","ms"
"mu.psi",0.501,0.392,0.608,1.067,0,"0.5","0","2","all","ms"
"sigma.psi.sp",0.619,0.514,0.754,1.02,0.5,"0.5","0","2","all","ms"
"mu.psi.yr",-0.032,-0.132,0.056,1.011,0,"0.5","0","2","all","ms"
"sigma.psi.yr",0.233,0.141,0.332,1.03,0.2,"0.5","0","2","all","ms"
"mu.p",-2.065,-2.172,-1.958,1.083,-0.5,"0.5","0","2","all","ms"
"sigma.p.sp",0.272,0.214,0.335,1.012,NA,"0.5","0","2","all","ms"
"p.yr",0.262,0.159,0.362,1.043,0.5,"0.5","0","2","all","ms"
"sigma.p.site",1.506,1.461,1.558,1.009,1.5,"0.5","0","2","all","ms"
"per_chage_bci",-1.21676033039706,-4.98371222967933,2.1449116661671,NA,0,"0.5","0","2","all","ms"
"mu.psi",0.53,0.391,0.679,1.522,0,"1","-0.5","2","all","ms"
"sigma.psi.sp",0.643,0.521,0.79,1.001,0.5,"1","-0.5","2","all","ms"
"mu.psi.yr",0.267,0.153,0.372,1.062,0,"1","-0.5","2","all","ms"
"sigma.psi.yr",0.303,0.226,0.416,1.04,0.2,"1","-0.5","2","all","ms"
"mu.p",-2.183,-2.268,-2.086,0.998,-0.5,"1","-0.5","2","all","ms"
"sigma.p.sp",0.2,0.157,0.256,1.012,NA,"1","-0.5","2","all","ms"
"p.yr",-0.077,-0.177,0.042,1.002,1,"1","-0.5","2","all","ms"
"sigma.p.site",1.659,1.613,1.711,1.002,1.5,"1","-0.5","2","all","ms"
"per_chage_bci",9.51818036241424,5.25746700353654,13.5518433922945,NA,0,"1","-0.5","2","all","ms"
"mu.psi",0.595,0.427,0.718,1.127,0,"1","0","2","all","ms"
"sigma.psi.sp",0.669,0.563,0.814,1.001,0.5,"1","0","2","all","ms"
"mu.psi.yr",-0.102,-0.195,-0.002,1.038,0,"1","0","2","all","ms"
"sigma.psi.yr",0.229,0.158,0.33,1.086,0.2,"1","0","2","all","ms"
"mu.p",-2.264,-2.374,-2.153,1.08,-0.5,"1","0","2","all","ms"
"sigma.p.sp",0.32,0.26,0.388,1.014,NA,"1","0","2","all","ms"
"p.yr",0.744,0.651,0.839,1.38,1,"1","0","2","all","ms"
"sigma.p.site",1.543,1.493,1.597,1.016,1.5,"1","0","2","all","ms"
"per_chage_bci",-3.67057359799481,-7.05602858756865,-0.0853612741254176,NA,0,"1","0","2","all","ms"
