"var.names","mean","2.5%","97.5%","Rhat","actual.val","mu.psi.yr","mu.v.yr","r","case","sp"
"sigma.psi.sp",0.597,0.487,0.747,0.998,0.5,"-1","-0.5","2","all","ms"
"mu.psi.yr",-0.916,-1.022,-0.822,1.19,-1,"-1","-0.5","2","all","ms"
"sigma.psi.yr",0.151,0.033,0.266,1.004,0.2,"-1","-0.5","2","all","ms"
"mu.p",-2.183,-2.316,-2.065,1.01,-0.5,"-1","-0.5","2","all","ms"
"sigma.p.sp",0.402,0.34,0.483,1.02,NA,"-1","-0.5","2","all","ms"
"p.yr",-0.966,-1.099,-0.836,1.007,-0.5,"-1","-0.5","2","all","ms"
"sigma.p.site",1.501,1.453,1.559,1,1.5,"-1","-0.5","2","all","ms"
"per_chage_bci",-35.8275293577282,-40.3323811957252,-31.1912405696406,NA,-46.211715726001,"-1","-0.5","2","all","ms"
"mu.psi",0.47,0.323,0.619,1.042,0,"-1","0","2","all","ms"
"sigma.psi.sp",0.589,0.485,0.697,1.022,0.5,"-1","0","2","all","ms"
"mu.psi.yr",-1.163,-1.271,-1.044,1.079,-1,"-1","0","2","all","ms"
"sigma.psi.yr",0.228,0.123,0.322,1.142,0.2,"-1","0","2","all","ms"
"mu.p",-2.114,-2.204,-2.02,1.031,-0.5,"-1","0","2","all","ms"
"sigma.p.sp",0.259,0.203,0.326,1.017,NA,"-1","0","2","all","ms"
"p.yr",-0.427,-0.551,-0.312,1.003,-0.5,"-1","0","2","all","ms"
"sigma.p.site",1.474,1.43,1.527,1.008,1.5,"-1","0","2","all","ms"
"per_chage_bci",-45.8082392636026,-50.0711867313085,-41.4803043899913,NA,-46.211715726001,"-1","0","2","all","ms"
"mu.psi",0.477,0.255,0.656,1.227,0,"0","-0.5","2","all","ms"
"sigma.psi.sp",0.65,0.522,0.783,1.068,0.5,"0","-0.5","2","all","ms"
"mu.psi.yr",0.377,0.186,0.571,1.056,0,"0","-0.5","2","all","ms"
"sigma.psi.yr",0.5,0.325,0.71,1.077,0.2,"0","-0.5","2","all","ms"
"mu.p",-2.289,-2.382,-2.185,1.054,-0.5,"0","-0.5","2","all","ms"
"sigma.p.sp",0.369,0.3,0.445,1.015,NA,"0","-0.5","2","all","ms"
"p.yr",-0.939,-1.05,-0.811,1.009,-0.5,"0","-0.5","2","all","ms"
"sigma.p.site",1.591,1.539,1.641,1.019,1.5,"0","-0.5","2","all","ms"
"per_chage_bci",13.7010098700011,6.77233196365953,22.2341351594727,NA,0,"0","-0.5","2","all","ms"
"mu.psi",0.482,0.383,0.609,1.169,0,"0","0","2","all","ms"
"sigma.psi.sp",0.542,0.424,0.658,1.003,0.5,"0","0","2","all","ms"
"mu.psi.yr",0.035,-0.092,0.143,1.036,0,"0","0","2","all","ms"
"sigma.psi.yr",0.241,0.154,0.336,1.001,0.2,"0","0","2","all","ms"
"mu.p",-2.181,-2.283,-2.063,1.099,-0.5,"0","0","2","all","ms"
"sigma.p.sp",0.329,0.269,0.396,1.012,NA,"0","0","2","all","ms"
"p.yr",-0.346,-0.462,-0.23,1.11,-0.5,"0","0","2","all","ms"
"sigma.p.site",1.488,1.438,1.54,1.003,1.5,"0","0","2","all","ms"
"per_chage_bci",1.3443679389209,-3.462725361164,5.36711006274791,NA,0,"0","0","2","all","ms"
"mu.psi",0.497,0.365,0.638,1.154,0,"0.5","-0.5","2","all","ms"
"sigma.psi.sp",0.534,0.438,0.675,1.029,0.5,"0.5","-0.5","2","all","ms"
"mu.psi.yr",1.155,0.936,1.411,1.008,0.5,"0.5","-0.5","2","all","ms"
